2018-05-06 20:09:31,593 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-9801a79b5e9b-1525617569650-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/z063407/tuts/udemy/learncamel/data/input1/file1.txt, CamelFileLastModified=1525617524000, CamelFileLength=33, CamelFileName=file1.txt, CamelFileNameConsumed=file1.txt, CamelFileNameOnly=file1.txt, CamelFileParent=data/input1, CamelFilePath=data/input1/file1.txt, CamelFileRelativePath=file1.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2018-05-06 20:09:31,593 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-9801a79b5e9b-1525617569650-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/z063407/tuts/udemy/learncamel/data/input/file1.txt, CamelFileLastModified=1525606678000, CamelFileLength=26, CamelFileName=file1.txt, CamelFileNameConsumed=file1.txt, CamelFileNameOnly=file1.txt, CamelFileParent=data/input, CamelFilePath=data/input/file1.txt, CamelFileRelativePath=file1.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2018-05-06 20:09:31,613 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-9801a79b5e9b-1525617569650-0-4, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/z063407/tuts/udemy/learncamel/data/input1/file2.txt, CamelFileLastModified=1525617538000, CamelFileLength=42, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input1, CamelFilePath=data/input1/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-05-06 20:09:31,613 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-9801a79b5e9b-1525617569650-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/z063407/tuts/udemy/learncamel/data/input/file2.txt, CamelFileLastModified=1525606678000, CamelFileLength=35, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-05-06 20:09:35,583 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-05-06 20:09:35,584 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2018-05-06 20:09:35,587 | INFO | DefaultShutdownStrategy.java 671 | Route: route2 shutdown complete, was consuming from: file://data/input1?noop=true
2018-05-06 20:09:35,588 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-05-06 20:09:35,588 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2018-05-06 20:09:35,604 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.601 seconds
2018-05-06 20:09:35,604 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.021 seconds
